tempo, rssi, distancia, nivel_invasao, amostragem
15:56:05.443, -47, 1, 0, 3
15:56:08.442, -50, 1, 0, 3
15:56:11.445, -56, 1, 0, 3
15:56:14.449, -51, 1, 0, 3
15:56:17.452, -51, 1, 0, 3
15:56:20.452, -51, 1, 0, 3
15:56:23.451, -51, 1, 0, 3
15:56:26.452, -47, 1, 0, 3
15:56:29.481, -50, 1, 0, 3
15:56:32.486, -57, 1, 0, 3
15:56:35.488, -50, 1, 0, 3
15:56:38.493, -52, 1, 0, 3
15:56:41.495, -50, 1, 0, 3
15:56:44.497, -50, 1, 0, 3
15:56:47.500, -49, 1, 0, 3
15:56:50.496, -50, 1, 0, 3
15:56:53.502, -56, 1, 0, 3
15:56:56.506, -50, 1, 0, 3
15:56:59.509, -52, 1, 0, 3
15:57:02.511, -50, 1, 0, 3
15:57:05.515, -51, 1, 0, 3
15:57:08.513, -51, 1, 0, 3
15:57:11.507, -50, 1, 0, 3
15:57:14.506, -57, 1, 0, 3
15:57:17.507, -51, 1, 0, 3
15:57:20.540, -53, 1, 0, 3
15:57:23.542, -51, 1, 0, 3
15:57:26.542, -50, 1, 0, 3
15:57:29.516, -50, 1, 0, 3
15:57:32.549, -52, 1, 0, 3
15:57:35.552, -55, 1, 0, 3
15:57:38.546, -55, 1, 0, 3
15:57:41.536, -51, 1, 0, 3
15:57:44.560, -50, 1, 0, 3
15:57:47.565, -50, 1, 0, 3
15:57:50.560, -51, 1, 0, 3
15:57:53.555, -56, 1, 0, 3
15:57:56.553, -51, 1, 0, 3
15:57:59.558, -52, 1, 0, 3
15:58:02.561, -51, 1, 0, 3
15:58:05.565, -50, 1, 0, 3
15:58:08.567, -49, 1, 0, 3
15:58:11.566, -50, 1, 0, 3
15:58:14.595, -59, 1, 0, 3
15:58:17.567, -50, 1, 0, 3
15:58:20.601, -50, 1, 0, 3
15:58:23.602, -50, 1, 0, 3
15:58:26.599, -50, 1, 0, 3
15:58:29.602, -46, 1, 0, 3
15:58:32.605, -50, 1, 0, 3
15:58:35.610, -53, 1, 0, 3
15:58:38.613, -50, 1, 0, 3
15:58:41.615, -47, 1, 0, 3
15:58:44.615, -87, 1, 0, 3
16:00:28.537, -48, 1, 1, 3
16:00:31.540, -49, 1, 1, 3
16:00:34.541, -48, 1, 1, 3
16:00:37.539, -48, 1, 1, 3
16:00:40.544, -52, 1, 1, 3
16:00:43.548, -52, 1, 1, 3
16:00:46.547, -57, 1, 1, 3
16:00:49.551, -54, 1, 1, 3
16:00:52.557, -57, 1, 1, 3
16:00:55.556, -54, 1, 1, 3
16:00:58.588, -49, 1, 1, 3
16:01:01.590, -56, 1, 1, 3
16:01:04.592, -50, 1, 1, 3
16:01:07.594, -53, 1, 1, 3
16:01:10.597, -53, 1, 1, 3
16:01:13.599, -52, 1, 1, 3
16:01:16.598, -50, 1, 1, 3
16:01:19.597, -43, 1, 1, 3
16:01:22.601, -48, 1, 1, 3
16:01:25.606, -54, 1, 1, 3
16:01:28.606, -49, 1, 1, 3
16:01:31.609, -50, 1, 1, 3
16:01:34.612, -60, 1, 1, 3
16:01:37.615, -51, 1, 1, 3
16:01:40.619, -52, 1, 1, 3
16:01:43.622, -47, 1, 1, 3
16:01:46.617, -58, 1, 1, 3
16:01:49.619, -57, 1, 1, 3
16:01:52.618, -54, 1, 1, 3
16:01:55.650, -56, 1, 1, 3
16:01:58.621, -48, 1, 1, 3
16:02:01.652, -58, 1, 1, 3
16:02:04.653, -49, 1, 1, 3
16:02:07.658, -49, 1, 1, 3
16:02:10.660, -40, 1, 1, 3
16:02:13.661, -86, 1, 1, 3
16:07:47.427, -43, 0.5, 0, 0.050
16:07:47.523, -42, 0.5, 0, 0.050
16:07:47.621, -39, 0.5, 0, 0.050
16:07:47.718, -36, 0.5, 0, 0.050
16:07:47.879, -47, 0.5, 0, 0.050
16:07:47.975, -42, 0.5, 0, 0.050
16:07:48.071, -42, 0.5, 0, 0.050
16:07:48.168, -42, 0.5, 0, 0.050
16:07:48.266, -42, 0.5, 0, 0.050
16:07:48.395, -42, 0.5, 0, 0.050
16:07:48.492, -41, 0.5, 0, 0.050
16:07:48.590, -37, 0.5, 0, 0.050
16:07:48.686, -36, 0.5, 0, 0.050
16:07:48.814, -45, 0.5, 0, 0.050
16:07:48.943, -43, 0.5, 0, 0.050
16:07:49.041, -43, 0.5, 0, 0.050
16:07:49.138, -43, 0.5, 0, 0.050
16:07:49.234, -43, 0.5, 0, 0.050
16:07:49.331, -42, 0.5, 0, 0.050
16:07:49.428, -40, 0.5, 0, 0.050
16:07:49.686, -47, 0.5, 0, 0.050
16:07:49.782, -43, 0.5, 0, 0.050
16:07:49.880, -43, 0.5, 0, 0.050
16:07:49.978, -43, 0.5, 0, 0.050
16:07:50.075, -43, 0.5, 0, 0.050
16:07:50.173, -43, 0.5, 0, 0.050
16:07:50.303, -41, 0.5, 0, 0.050
16:07:50.400, -43, 0.5, 0, 0.050
16:07:50.530, -48, 0.5, 0, 0.050
16:07:50.627, -44, 0.5, 0, 0.050
16:07:50.723, -43, 0.5, 0, 0.050
16:07:50.852, -43, 0.5, 0, 0.050
16:07:50.949, -42, 0.5, 0, 0.050
16:07:51.045, -43, 0.5, 0, 0.050
16:07:51.143, -42, 0.5, 0, 0.050
